No.,#id,stations
42026,GUL,Gulmarg
42027,RMG,Srinagar
42028,PNT,Pahalgam
42031,,Kupwara
42034,LEH,Leh
42043,GPR,Batote
42044,ATN,Qazigund
42045,,Banihal
42046,ANT,Kukernag
42048,,Bhaderwah
42054,KWA,Katra
42056,CTH,Jammu
42057,,Pathankot
42062,DSL,Dharamsala
42063,KYL,Keylong
42065,BJR,Manali
42066,REO,Kalpa
42071,AMT,Amritsar
42074,KPT,Kapurthala
42075,JLD,Jalandhar
42077,UPR,Una
42079,MND,Sundernagar
42080,BLS,Bilaspur
42081,BJR,Kullu
42083,CSA,Shimla
42096,FZP,Ferozepore
42097,BTD,Bhatinda
42099,RUN,Ludhiana
42101,PTL,Patiala
42103,ABL,Ambala
42104,NHN,Nahan
42106,KSL,Solan
42108,UKH,Uttarkashi
42111,DDN,Dehradun
42112,MAS,Mussorie
42114,RCW,Tehri
42116,JTH,Joshimath
42123,GGN,Sriganganagar
42131,HSR,Hissar
42137,KNL,Karnal
42139,MRT,Meerut
42140,ROR,Roorkee
42146,NNT,Nainital
42147,MKT,Mukteshwar
42148,PAN,Pantnagar
42165,BKN,Bikaner
42170,CRU,Churu
42176,RHK,Rohtak
42177,MGH,Narnaul
42178,GRG,Gurgaon
42180,AYN,Ayanagar
42181,PLM,Palam
42182,SFD,Safdarjung
42184,,Ridge
42187,,Moradabad
42189,BRY,Bareilly
42217,,Tadong
42220,PGT,Passighat
42249,SIK,Sikar
42255,ALW,Alwar
42258,BHT,Bharatpur
42260,AGR,Agra
42262,ALI,Aligarh
42271,,Hardoi
42273,BHI,Bahraich
42295,DRJ,Darjeeling
42299,GTK,Gangtok
42308,NHG,Itanagar
42309,BIH,North Lakhimpur
42314,DIB,Dibrugarh
42317,TSK,Tinsukia
42328,JSM,Jaisalmer
42339,JOD,Jodhpur
42343,AJR,Ajmer
42348,JPR,Jaipur
42350,BHN,Bhiwani
42361,GWL,Gwalior
42366,KNP,Kanpur
42369,LKN,Lucknow
42372,FRG,Fursatganj
42374,FAZ,Faizabad
42377,SUL,Sultanpur
42379,GOR,Gorakhpur
42383,,Motihari
42387,MZS,Muzaffarpur
42393,,Supaul
42395,ARI,Forbesganj
42399,JPG,Jalpaiguri
42403,PNB,Coochbehar
42406,,Dhubri
42407,GLP,Goalpara
42410,GWH,Guwahati
42413,,Mazbat
42415,SON,Tezpur
42420,DIB,Golaghat
42423,JOR,Jorhat
42435,BMR,Barmer
42447,BIL,Bhilwara
42452,KOT,Kota
42453,SMP,Sawai Madhopur
42463,JHN,Jhansi
42473,,Banda
42475,ALB,Allahabad
42479,VNS,Varanasi
42488,,Chapra
42492,PAT,Patna
42498,BGL,Bhagalpur
42500,,Purnea
42503,,Malda
42515,TUR,Cherrapunji
42516,SNG,Shillong
42523,,Lumding
42527,KHM,Kohima
42539,DTW,Deesa
42540,MTA,Mount Abu
42542,GKL,Udaipur
42546,CHH,Chittorgarh
42559,GNA,Guna
42567,CHT,Khajuraho
42571,STN,Satna
42574,REW,Rewa
42587,,Daltonganj
42591,MLP,Gaya
42599,DUM,Dumka
42603,BEP,Behrampur
42618,KMP,Kailashahar
42619,SLC,Silchar
42623,IMP,Imphal
42631,BHJ,Naliya
42634,BHJ,Bhuj
42638,KDL,Kandla
42647,ARJ,Ahmedabad
42651,IDR,Idar
42662,UJN,Ujjain
42667,BHP,Bhopal
42671,SAR,Sagar
42675,JBL,Jabalpur
42679,UMR,Umaria
42693,ABK,Ambikapur
42701,RNC,Ranchi
42704,,Asansol
42707,BKU,Bankura
42708,SUR,Sriniketan
42709,BRW,Burdwan
42711,KSN,Krishnanagar
42724,,Agartala
42726,AIZ,Aizawal
42727,MMT,Lengpui
42730,,Okha
42731,DWK,Dwarka
42737,TRG,Rajkot
42748,VDR,Baroda
42754,IDE,Indore
42767,HGD,Pachmarhi
42771,SNI,Seoni
42779,PEN,Pendra
42795,,Chaibasa
42798,DAS,Jamshedpur
42803,,Midnapore
42807,KOL,Kolkata
42811,,Diamond Harbour
42830,RNV,Porbandar
42834,,Amreli
42838,MHV,Bhavnagar
42840,SRT,Surat
42851,CHO,Jalgaon
42855,KND,Khandwa
42860,BTL,Betul
